english,french
to wait,attendre
a wait,une attente
to move forward - to make earlier,avancer
to get ahead - to get a head start,prendre de l’avance 
early,en avance 
two hours ahead,deux heures d’avance 
early,avant l’heure 
ahead; in advance,à l’avance
to come before,devancer 
on time,à l’heure 
in time,à temps 
to delay,retarder
to be delayed,être retardé(e)
to fall behind,prendre du retard 
late,en retard 
two minutes late,deux minutes de retard
yesterday,hier
in the old days,autrefois
in the past,par le passé
in those days,dans ce temps-là
in the old days,en ce temps-là (soutenu) 
in the past,dans le temps 
at that time,à cette époque-(là)
at that point,à ce moment-là 
recently,récemment 
lately,dernièrement 
(x minutes hours days etc.) ago,il y a (x minutes heures jours etc.) 
it has been (x minutes hours days etc.),ça fait (x minutes heures jours etc.) 
last week,la semaine dernière/passée
to offer,offrir
to open,ouvrir
to hold,tenir
to come,venir
to run,courir
to die,mourir
to acquire,acquérir
to be,être
to have,avoir
to want,vouloir
to say/tell,dire
to do/make,faire
to be able to,pouvoir
to know (facts),savoir
to have to/must,devoir
to see,voir
to put,mettre
to take,prendre
to answer,répondre
to understand,comprendre
to know (people/places),connaître
to lose,perdre
to be born,naître
