english,french
firstly,en premier lieu
firstly,pour commencer
firstly,premierèment
first of all,tout d'abord
at first,dans un premier temps
at the beginning,au début
suddenly,soudain
immediately,aussitôt
suddenly,tout à coup
suddenly,soudainement
as soon as,dés que
while,pendant que
as soon as,aussitôt que
because,car
since,puisque
because,parce que
indeed,en effet
given that,étant donné que
due to,du fait que
seeing that,vu que
because of,à cause de
due to,dû à
because of,en raison de
but,mais
now,or
on the other hand,en revanche
on the other hand,par contre
on the contrary,au contraire
conversely,à l'inverse
however,cependant
however,toutefois
nevertheless,néanmoins
yet,pourtant
opposite,à l'opposé
whereas,tandis que
then,ensuite
then,alors
after,aprés
also,aussi
of,de
also,également
now,maintenant
thereafter,par la suite
then,puis
likewise,de même
moreover,de sucroît
secondly,en second lieu
secondly,en deuxième lieu
thirdly,en troisième lieu
secondly,deuxièmement
thirdly,troisièmement
later,plus tard
also note that,mentionnons également que
do not forget that,n'oublions pas que
do not forget that,sans oublier que
also note that,signalons également que
for example,par exemple
indeed,en effet
thus,ainsi
that is to say,c'est-à-dire
moreover,D'ailleurs
notably,Notamment
indeed,Effectivement
in fact,De fait
in fact,En fait
in short,Bref
in short,En bref
certainly,Certes
because,car
finally,finalement
finally,enfin
so,donc
recently,dernièrement
lastly,en dernier lieu
in conclusion,en conclusion
to conclude,pour conclure
lastly,en dernier
to finish,pour finir
to end,pour terminer
all in all,pour tout dire
all things considered,tout compte fait
that said,cela dit
in sum,en somme
anyway,quoi qu'il en soit
therefore,par conséquent
as a result,en conséquence
under these conditions,dans ces conditions
for these reasons,pour ces raisons
as a result,de ce fait
so that,de sore que
so that,si bien que
it results in,il en résulte
that is why,c'est pourquoi
in other words,en d'autres termes
